leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
144,810.6,141.7742,40.3308,2.277,9.32,0.000,5.71,5.714,5.714,2005.2,1
145,813.6,141.7657,40.3464,2.308,9.48,0.000,5.71,5.714,5.714,2038.7,1
146,814.9,141.7561,40.3642,2.238,9.65,0.000,5.71,5.714,5.714,1975.1,1
147,816.7,141.7487,40.3767,2.261,9.76,0.000,5.71,5.714,5.714,1999.4,1
148,818.5,141.7349,40.3889,2.273,9.81,0.000,5.71,5.714,5.714,2015.4,1
149,820.7,141.7226,40.4033,2.188,9.88,0.000,5.71,5.714,5.714,1939.7,1
150,824.8,141.7050,40.4276,2.224,10.02,0.000,5.71,5.714,5.714,1978.5,1
151,826.1,141.6860,40.4466,2.236,10.00,0.000,5.71,5.714,5.714,1994.6,1
152,833.5,141.6524,40.4762,2.140,9.88,0.000,5.71,5.714,5.714,1913.2,1
153,837.2,141.6065,40.5117,2.029,9.61,0.000,5.71,5.714,5.714,1826.9,1
154,838.5,141.5857,40.5275,2.023,9.51,0.000,5.71,5.714,5.714,1826.3,1
155,839.7,141.5788,40.5375,2.033,9.54,0.000,5.71,5.714,5.714,1835.3,1
156,841.1,141.5675,40.5408,2.018,9.42,0.000,5.71,5.714,5.714,1825.1,1
157,842.4,141.5538,40.5355,1.979,9.16,0.000,5.71,5.714,5.714,1796.3,1
158,860.4,141.4928,40.6009,2.098,9.09,0.000,5.71,5.714,5.714,1896.3,1
159,866.7,141.4303,40.6980,2.272,9.54,0.000,5.71,5.714,5.714,2057.0,1
160,877.0,141.4144,40.7713,2.361,10.33,0.000,5.71,5.714,5.714,2146.2,1
161,888.7,141.3993,40.8693,2.596,11.72,0.000,5.71,5.714,5.714,2383.1,1
162,890.0,141.3917,40.9278,2.666,12.60,0.000,5.71,5.714,5.714,2468.0,1
163,907.6,141.3933,41.0128,2.772,13.83,0.000,5.71,5.714,5.714,2597.8,1
164,908.8,141.3955,41.0973,2.780,14.43,0.000,5.71,5.714,5.714,2587.1,1
165,910.3,141.3946,41.1097,2.782,14.51,0.000,5.71,5.714,5.714,2585.0,1
166,911.6,141.3964,41.1223,2.788,14.60,0.000,5.71,5.714,5.714,2588.0,1
167,912.8,141.3964,41.1332,2.791,14.67,0.000,5.71,5.714,5.714,2587.4,1
168,915.4,141.3927,41.1496,2.787,14.74,0.000,5.71,5.714,5.714,2578.8,1
169,922.1,141.3973,41.1908,2.803,14.97,0.000,5.71,5.714,5.714,2581.7,1
170,923.2,141.4040,41.2256,2.731,15.14,0.000,5.71,5.714,5.714,2501.7,1
171,926.1,141.4066,41.2437,2.739,15.21,0.000,5.71,5.714,5.714,2503.1,1
172,932.4,141.4164,41.2847,2.735,14.89,0.000,5.71,5.714,5.714,2485.1,1
173,934.5,141.4279,41.3214,2.724,14.51,0.000,5.71,5.714,5.714,2461.4,1
174,936.9,141.4359,41.3406,2.720,14.31,0.000,5.71,5.714,5.714,2449.3,1
175,981.4,141.6488,41.4752,2.683,13.16,0.000,5.71,5.714,5.714,2338.7,1
176,1094.8,142.5299,41.6809,2.803,13.68,0.000,5.71,5.714,5.714,2340.1,1
177,1174.8,143.4897,42.0520,1.927,5.22,0.000,5.71,5.714,5.714,1676.9,1
178,1288.2,144.4595,42.4119,1.733,2.64,0.000,5.71,5.714,5.714,1579.6,1
179,1368.3,145.4417,42.7669,1.794,6.87,0.000,5.71,5.714,5.714,1562.8,1
180,1401.5,145.8675,43.1693,1.772,8.84,0.000,5.71,5.714,5.714,1550.8,1
181,1415.2,146.0120,43.3474,1.827,9.38,0.000,5.71,5.714,5.714,1593.7,1
182,1416.3,146.0355,43.4049,1.856,9.26,0.000,5.71,5.714,5.714,1600.9,1
183,1416.6,146.0429,43.4025,1.860,9.26,0.000,5.71,5.714,5.714,1602.2,1
184,1418.4,146.0511,43.4095,1.867,9.25,0.000,5.71,5.714,5.714,1604.3,1
185,1419.0,146.0607,43.4171,1.875,9.25,0.000,5.71,5.714,5.714,1606.6,1
186,1420.4,146.0725,43.4171,1.881,9.24,0.000,5.71,5.714,5.714,1609.4,1
187,1421.0,146.0832,43.4181,1.885,9.21,0.000,5.71,5.714,5.714,1612.6,1
188,1422.1,146.0890,43.4245,1.887,9.17,0.000,5.71,5.714,5.714,1614.6,1
189,1422.6,146.0945,43.4305,1.889,9.14,0.000,5.71,5.714,5.714,1616.6,1
190,1423.1,146.0998,43.4325,1.892,9.12,0.000,5.71,5.714,5.714,1618.3,1
191,1423.8,146.1036,43.4359,1.893,9.09,0.000,5.71,5.714,5.714,1619.5,1
