leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
168,9529.2,-124.4290,42.3731,1.628,2.86,0.000,6.00,6.000,6.000,1715.2,1
169,9531.4,-124.4317,42.3394,1.641,3.05,0.000,6.00,6.000,6.000,1725.9,1
170,9532.5,-124.4304,42.3247,1.645,3.13,0.000,6.00,6.000,6.000,1731.0,1
171,9533.0,-124.4256,42.3189,1.646,3.14,0.000,6.00,6.000,6.000,1732.1,1
172,9539.6,-124.4168,42.2883,1.654,3.27,0.000,6.00,6.000,6.000,1741.7,1
173,9540.8,-124.4114,42.2539,1.664,3.44,0.000,6.00,6.000,6.000,1753.8,1
174,9542.5,-124.4038,42.2442,1.666,3.44,0.000,6.00,6.000,6.000,1756.0,1
175,9547.5,-124.3857,42.2180,1.684,3.38,0.000,6.00,6.000,6.000,1767.9,1
176,9552.8,-124.3712,42.1734,1.696,3.25,0.000,6.00,6.000,6.000,1777.2,1
177,9556.9,-124.3629,42.1315,1.710,3.12,0.000,6.00,6.000,6.000,1786.3,1
178,9558.8,-124.3550,42.1055,1.719,3.04,0.000,6.00,6.000,6.000,1791.7,1
179,9560.2,-124.3432,42.0947,1.730,2.93,0.000,6.00,6.000,6.000,1797.2,1
180,9722.6,-124.3277,41.3601,1.787,4.04,0.000,6.00,6.000,6.000,1892.7,1
181,9723.9,-124.3208,40.6230,1.825,4.04,0.000,6.00,6.000,6.000,2014.3,1
182,9728.9,-124.3360,40.5976,1.832,4.17,0.000,6.00,6.000,6.000,2023.9,1
183,9730.7,-124.3540,40.5704,1.829,4.33,0.000,6.00,6.000,6.000,2027.1,1
184,9737.1,-124.3719,40.5363,1.836,4.47,0.000,6.00,6.000,6.000,2038.7,1
185,9742.0,-124.3909,40.4874,1.846,4.59,0.000,6.00,6.000,6.000,2052.6,1
186,9744.7,-124.4026,40.4546,1.843,4.63,0.000,6.00,6.000,6.000,2054.2,1
187,9747.9,-124.4037,40.4298,1.848,4.57,0.000,6.00,6.000,6.000,2058.3,1
188,9756.3,-124.3814,40.3803,1.862,4.15,0.000,6.00,6.000,6.000,2066.1,1
189,9765.6,-124.3641,40.3031,1.871,3.78,0.000,6.00,6.000,6.000,2075.3,1
190,9768.4,-124.3530,40.2518,1.877,3.56,0.000,6.00,6.000,6.000,2083.5,1
191,9771.1,-124.3310,40.2333,1.885,3.27,0.000,6.00,6.000,6.000,2093.5,1
192,9778.1,-124.2879,40.2045,1.893,2.84,0.000,6.00,6.000,6.000,2118.7,1
193,9786.7,-124.2209,40.1570,1.675,2.58,0.000,6.00,6.000,6.000,1972.1,1
194,9835.3,-124.0113,39.9562,1.526,3.12,0.000,6.00,6.000,6.000,1849.5,1
195,9837.7,-123.8374,39.7723,1.624,3.09,0.000,6.00,6.000,6.000,1931.6,1
196,9841.6,-123.8338,39.7441,1.633,3.17,0.000,6.00,6.000,6.000,1938.7,1
197,9883.7,-123.8275,39.5369,1.712,3.06,0.000,6.00,6.000,6.000,2009.0,1
198,9888.7,-123.8157,39.3260,1.779,2.66,0.000,6.00,6.000,6.000,2066.5,1
199,9891.6,-123.8048,39.2919,1.785,2.59,0.000,6.00,6.000,6.000,2070.3,1
200,9893.1,-123.7969,39.2743,1.810,2.54,0.000,6.00,6.000,6.000,2095.3,1
201,9898.5,-123.7842,39.2459,1.841,2.40,0.000,6.00,6.000,6.000,2117.8,1
202,9901.7,-123.7729,39.2081,1.887,2.27,0.000,6.00,6.000,6.000,2150.1,1
