leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
313,1618.0,145.7828,43.3584,1.256,3.20,0.000,6.00,6.000,6.000,1534.0,1
314,1619.8,145.7991,43.3607,1.264,3.19,0.000,6.00,6.000,6.000,1537.1,1
315,1620.6,145.8144,43.3626,1.271,3.19,0.000,6.00,6.000,6.000,1540.1,1
316,1621.8,145.8217,43.3690,1.274,3.12,0.000,6.00,6.000,6.000,1541.5,1
317,1638.8,145.9276,43.3906,1.325,2.98,0.000,6.00,6.000,6.000,1563.5,1
318,1639.9,146.0355,43.4049,1.369,2.95,0.000,6.00,6.000,6.000,1583.2,1
319,1640.2,146.0429,43.4025,1.372,3.00,0.000,6.00,6.000,6.000,1583.9,1
320,1642.0,146.0511,43.4095,1.372,2.89,0.000,6.00,6.000,6.000,1584.8,1
321,1642.6,146.0607,43.4171,1.373,2.80,0.000,6.00,6.000,6.000,1585.8,1
322,1644.0,146.0725,43.4171,1.377,2.84,0.000,6.00,6.000,6.000,1587.0,1
323,1644.5,146.0832,43.4181,1.379,2.87,0.000,6.00,6.000,6.000,1588.1,1
324,1645.7,146.0890,43.4245,1.379,2.79,0.000,6.00,6.000,6.000,1588.5,1
325,1646.2,146.0945,43.4305,1.379,2.72,0.000,6.00,6.000,6.000,1588.9,1
326,1646.7,146.0998,43.4325,1.380,2.72,0.000,6.00,6.000,6.000,1589.4,1
327,1647.3,146.1036,43.4359,1.380,2.68,0.000,6.00,6.000,6.000,1589.5,1
328,1648.3,146.1018,43.4429,1.377,2.57,0.000,6.00,6.000,6.000,1588.5,1
329,1651.7,146.1167,43.4550,1.376,2.46,0.000,6.00,6.000,6.000,1589.0,1
330,1653.1,146.1430,43.4629,1.381,2.49,0.000,6.00,6.000,6.000,1590.9,1
331,1658.3,146.1805,43.4731,1.386,2.56,0.000,6.00,6.000,6.000,1593.1,1
332,1660.3,146.2070,43.4923,1.384,2.49,0.000,6.00,6.000,6.000,1592.7,1
333,1661.7,146.2098,43.5067,1.382,2.41,0.000,6.00,6.000,6.000,1592.1,1
334,1663.1,146.2207,43.5165,1.387,2.48,0.000,6.00,6.000,6.000,1593.7,1
335,1664.3,146.2281,43.5261,1.391,2.53,0.000,6.00,6.000,6.000,1594.8,1
336,1665.3,146.2251,43.5342,1.391,2.50,0.000,6.00,6.000,6.000,1594.6,1
337,1675.9,146.2460,43.5815,1.405,2.68,0.000,6.00,6.000,6.000,1598.9,1
338,1681.9,146.3080,43.6225,1.427,2.93,0.000,6.00,6.000,6.000,1607.9,1
339,1682.9,146.3507,43.6205,1.434,3.07,0.000,6.00,6.000,6.000,1611.6,1
340,4397.5,163.1784,43.2514,2.533,6.15,0.000,6.00,6.000,6.000,2341.2,1
341,4425.2,180.0000,42.7562,3.048,9.67,0.000,6.00,6.000,6.000,3757.1,1
342,4480.6,180.0000,42.3823,3.127,9.47,0.000,6.00,6.000,6.000,3983.9,1
343,4508.2,180.0000,42.0083,3.167,9.13,0.000,6.00,6.000,6.000,4192.3,1
344,4535.9,180.0000,41.7590,3.195,9.57,0.000,6.00,6.000,6.000,4268.2,1
345,4535.9,0.0000,41.6343,0.000,0.00,0.000,6.00,6.000,6.103,1361.2,1
346,4591.3,-180.0000,41.8837,3.331,10.46,0.000,6.00,6.000,6.000,4459.2,1
347,4646.7,-180.0000,42.3823,3.510,11.27,0.000,6.00,6.000,6.000,4677.4,1
348,4702.1,-180.0000,42.8809,3.421,6.10,0.000,6.00,6.000,6.000,4669.6,1
349,4757.5,-180.0000,43.3795,3.233,6.68,0.000,6.00,6.000,6.000,3956.4,1
350,4812.9,-180.0000,43.8781,3.115,5.42,0.000,6.00,6.000,6.000,4053.3,1
351,4868.3,-180.0000,44.3767,3.228,6.17,0.000,6.00,6.000,6.000,4487.4,1
352,5847.7,-176.4779,48.3580,2.779,7.45,0.000,6.00,6.000,6.000,3445.6,1
353,8676.1,-152.0367,52.0738,1.779,2.64,0.000,6.00,6.000,6.000,1839.7,1
354,8677.9,-131.1153,52.0500,1.845,7.23,0.000,6.00,6.000,6.000,1684.7,1
355,8680.7,-131.1014,52.0317,1.856,7.24,0.000,6.00,6.000,6.000,1688.9,1
356,8683.4,-131.1012,52.0115,1.871,7.23,0.000,6.00,6.000,6.000,1695.1,1
357,8687.8,-131.0935,51.9856,1.883,7.26,0.000,6.00,6.000,6.000,1699.9,1
358,8690.2,-131.0625,51.9615,1.885,7.32,0.000,6.00,6.000,6.000,1699.3,1
359,8692.2,-131.0373,51.9501,1.882,7.35,0.000,6.00,6.000,6.000,1697.2,1
360,9628.2,-127.5211,48.4370,2.040,8.91,0.000,6.00,6.000,6.000,1745.2,1
361,9631.0,-124.0250,44.9162,1.618,1.48,0.000,6.00,6.000,6.000,1873.4,1
362,9631.8,-124.0323,44.9011,1.618,1.53,0.000,6.00,6.000,6.000,1876.4,1
363,9636.3,-124.0396,44.8779,1.631,1.61,0.000,6.00,6.000,6.000,1889.2,1
364,9640.4,-124.0558,44.8408,1.645,1.74,0.000,6.00,6.000,6.000,1902.4,1
365,9645.5,-124.0693,44.8005,1.646,1.88,0.000,6.00,6.000,6.000,1905.3,1
366,9651.4,-124.0659,44.7519,1.653,2.02,0.000,6.00,6.000,6.000,1913.0,1
367,9657.3,-124.0682,44.7005,1.662,2.13,0.000,6.00,6.000,6.000,1928.3,1
368,9657.6,-124.0763,44.6739,1.674,2.21,0.000,6.00,6.000,6.000,1941.6,1
369,9659.3,-124.0663,44.6682,1.671,2.20,0.000,6.00,6.000,6.000,1938.9,1
370,9662.9,-124.0627,44.6478,1.681,2.26,0.000,6.00,6.000,6.000,1948.3,1
371,9664.2,-124.0691,44.6263,1.681,2.34,0.000,6.00,6.000,6.000,1949.4,1
372,9665.6,-124.0670,44.6150,1.679,2.37,0.000,6.00,6.000,6.000,1948.3,1
373,9678.1,-124.0738,44.5538,1.819,2.64,0.000,6.00,6.000,6.000,2065.5,1
374,9687.7,-124.0844,44.4549,1.832,3.05,0.000,6.00,6.000,6.000,2071.6,1
375,9690.6,-124.0866,44.3986,1.839,3.24,0.000,6.00,6.000,6.000,2074.2,1
376,9699.5,-124.1015,44.3464,1.838,3.48,0.000,6.00,6.000,6.000,2072.8,1
377,9706.0,-124.1141,44.2782,1.848,3.56,0.000,6.00,6.000,6.000,2085.2,1
378,9722.6,-124.1201,44.1743,1.858,3.06,0.000,6.00,6.000,6.000,2104.2,1
379,9728.8,-124.1298,44.0719,1.869,2.64,0.000,6.00,6.000,6.000,2131.9,1
380,9730.2,-124.1335,44.0381,1.872,2.56,0.000,6.00,6.000,6.000,2141.7,1
381,9734.8,-124.1353,44.0112,1.875,2.51,0.000,6.00,6.000,6.000,2148.9,1
382,9735.8,-124.1385,43.9862,1.878,2.49,0.000,6.00,6.000,6.000,2156.3,1
383,9740.1,-124.1423,43.9626,1.881,2.51,0.000,6.00,6.000,6.000,2163.7,1
384,9746.9,-124.1479,43.9125,1.888,2.56,0.000,6.00,6.000,6.000,2177.9,1
385,9760.3,-124.1635,43.8221,1.895,2.65,0.000,6.00,6.000,6.000,2193.4,1
386,9765.5,-124.1839,43.7399,1.908,2.78,0.000,6.00,6.000,6.000,2214.6,1
387,9769.7,-124.1973,43.6991,1.915,2.85,0.000,6.00,6.000,6.000,2223.9,1
388,9772.4,-124.2064,43.6687,1.913,2.91,0.000,6.00,6.000,6.000,2222.3,1
389,9775.7,-124.2127,43.6420,1.918,2.97,0.000,6.00,6.000,6.000,2227.9,1
390,9784.8,-124.2268,43.5873,1.926,3.12,0.000,6.00,6.000,6.000,2239.0,1
391,9800.0,-124.2680,43.4825,1.937,3.74,0.000,6.00,6.000,6.000,2243.1,1
392,9806.5,-124.3166,43.3916,1.935,4.47,0.000,6.00,6.000,6.000,2231.7,1
393,9808.4,-124.3323,43.3571,1.937,4.68,0.000,6.00,6.000,6.000,2232.1,1
394,9809.5,-124.3358,43.3505,1.938,4.66,0.000,6.00,6.000,6.000,2233.7,1
395,9812.6,-124.3593,43.3462,1.935,4.67,0.000,6.00,6.000,6.000,2231.1,1
396,9813.9,-124.3809,43.3352,1.940,4.69,0.000,6.00,6.000,6.000,2235.9,1
397,9816.5,-124.3933,43.3201,1.941,4.69,0.000,6.00,6.000,6.000,2238.5,1
398,9835.2,-124.4099,43.2261,1.932,4.42,0.000,6.00,6.000,6.000,2233.2,1
399,9837.8,-124.4215,43.1307,1.928,3.84,0.000,6.00,6.000,6.000,2228.5,1
400,9842.8,-124.4296,43.0971,1.928,3.63,0.000,6.00,6.000,6.000,2226.8,1
