leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
148,818.5,141.7349,40.3889,2.390,9.73,0.000,5.50,5.500,5.500,1956.8,1
149,820.7,141.7226,40.4033,2.299,9.75,0.000,5.50,5.500,5.500,1873.6,1
150,824.8,141.7050,40.4276,2.318,9.78,0.000,5.50,5.500,5.500,1892.9,1
151,826.1,141.6860,40.4466,2.316,9.72,0.000,5.50,5.500,5.500,1894.5,1
152,833.5,141.6524,40.4762,2.201,9.54,0.000,5.50,5.500,5.500,1796.1,1
153,837.2,141.6065,40.5117,2.067,9.21,0.000,5.50,5.500,5.500,1691.5,1
154,838.5,141.5857,40.5275,2.051,9.08,0.000,5.50,5.500,5.500,1681.6,1
155,839.7,141.5788,40.5375,2.056,9.09,0.000,5.50,5.500,5.500,1686.3,1
156,841.1,141.5675,40.5408,2.035,8.95,0.000,5.50,5.500,5.500,1672.3,1
157,842.4,141.5538,40.5355,1.989,8.70,0.000,5.50,5.500,5.500,1638.8,1
158,860.4,141.4928,40.6009,2.073,8.78,0.000,5.50,5.500,5.500,1701.8,1
159,866.7,141.4303,40.6980,2.200,9.42,0.000,5.50,5.500,5.500,1806.4,1
160,877.0,141.4144,40.7713,2.276,10.28,0.000,5.50,5.500,5.500,1876.9,1
161,888.7,141.3993,40.8693,2.512,11.74,0.000,5.50,5.500,5.500,2091.5,1
162,890.0,141.3917,40.9278,2.602,12.66,0.000,5.50,5.500,5.500,2183.7,1
163,907.6,141.3933,41.0128,2.724,13.98,0.000,5.50,5.500,5.500,2316.3,1
164,908.8,141.3955,41.0973,2.689,14.17,0.000,5.50,5.500,5.500,2263.1,1
165,910.3,141.3946,41.1097,2.679,14.17,0.000,5.50,5.500,5.500,2250.7,1
166,911.6,141.3964,41.1223,2.674,14.19,0.000,5.50,5.500,5.500,2242.0,1
167,912.8,141.3964,41.1332,2.666,14.19,0.000,5.50,5.500,5.500,2231.7,1
168,915.4,141.3927,41.1496,2.646,14.18,0.000,5.50,5.500,5.500,2209.8,1
169,922.1,141.3973,41.1908,2.621,14.20,0.000,5.50,5.500,5.500,2174.5,1
170,923.2,141.4040,41.2256,2.520,14.23,0.000,5.50,5.500,5.500,2085.6,1
171,926.1,141.4066,41.2437,2.514,14.25,0.000,5.50,5.500,5.500,2078.1,1
172,932.4,141.4164,41.2847,2.502,13.98,0.000,5.50,5.500,5.500,2063.6,1
173,934.5,141.4279,41.3214,2.491,13.68,0.000,5.50,5.500,5.500,2049.6,1
174,936.9,141.4359,41.3406,2.487,13.53,0.000,5.50,5.500,5.500,2042.7,1
175,981.4,141.6488,41.4752,2.454,12.84,0.000,5.50,5.500,5.500,1956.9,1
176,1094.8,142.5299,41.6809,2.628,12.89,0.000,5.50,5.500,5.500,1960.9,1
177,1174.8,143.4897,42.0520,1.809,5.21,0.000,5.50,5.500,5.500,1456.2,1
178,1288.2,144.4595,42.4119,1.644,4.63,0.000,6.00,6.000,6.000,1749.9,1
179,1368.3,145.4417,42.7669,1.699,7.15,0.000,5.50,5.500,5.500,1367.1,1
180,1401.5,145.8675,43.1693,1.635,8.05,0.000,5.50,5.500,5.500,1355.5,1
181,1415.2,146.0120,43.3474,1.730,7.42,0.000,5.50,5.500,5.500,1405.2,1
182,1416.3,146.0355,43.4049,1.731,7.21,0.000,6.00,6.000,6.000,1764.4,1
183,1416.6,146.0429,43.4025,1.733,7.21,0.000,6.00,6.000,6.000,1765.3,1
184,1418.4,146.0511,43.4095,1.736,7.21,0.000,6.00,6.000,6.000,1766.9,1
185,1419.0,146.0607,43.4171,1.739,7.20,0.000,6.00,6.000,6.000,1768.7,1
186,1420.4,146.0725,43.4171,1.743,7.22,0.000,6.00,6.000,6.000,1770.9,1
187,1421.0,146.0832,43.4181,1.747,7.23,0.000,6.00,6.000,6.000,1772.8,1
188,1422.1,146.0890,43.4245,1.748,7.22,0.000,6.00,6.000,6.000,1773.6,1
189,1422.6,146.0945,43.4305,1.750,7.21,0.000,6.00,6.000,6.000,1774.4,1
190,1423.1,146.0998,43.4325,1.752,7.22,0.000,6.00,6.000,6.000,1775.4,1
191,1423.8,146.1036,43.4359,1.753,7.22,0.000,6.00,6.000,6.000,1775.8,1
192,1424.8,146.1018,43.4429,1.749,7.18,0.000,6.00,6.000,6.000,1773.8,1
193,1428.1,146.1167,43.4550,1.752,7.19,0.000,6.00,6.000,6.000,1775.0,1
194,1429.5,146.1430,43.4629,1.761,7.26,0.000,6.00,6.000,6.000,1779.2,1
195,1434.7,146.1805,43.4731,1.772,7.37,0.000,6.00,6.000,6.000,1785.1,1
196,1436.7,146.2070,43.4923,1.776,7.44,0.000,6.00,6.000,6.000,1786.4,1
197,1438.2,146.2098,43.5067,1.776,7.45,0.000,6.00,6.000,6.000,1785.7,1
198,1439.5,146.2207,43.5165,1.783,7.51,0.000,6.00,6.000,6.000,1789.6,1
199,1440.7,146.2281,43.5261,1.788,7.55,0.000,6.00,6.000,6.000,1792.5,1
200,1454.5,146.2907,43.5744,1.826,7.85,0.000,6.00,6.000,6.000,1813.7,1
201,1534.5,146.8400,43.6834,2.090,9.12,0.000,6.00,6.000,6.000,1966.8,1
202,1647.7,147.7383,44.1643,2.266,9.31,0.000,5.50,5.500,5.500,1699.9,1
203,1760.9,148.5704,44.9913,2.081,7.33,0.000,5.50,5.500,5.500,1645.5,1
204,1841.1,149.4995,45.4560,2.674,8.09,0.000,5.50,5.500,5.500,2281.9,1
205,1921.3,150.5155,45.5572,2.188,7.34,0.000,5.50,5.500,5.500,1686.9,1
206,2001.5,151.5350,45.6495,2.632,9.37,0.000,5.50,5.500,5.500,2080.9,1
207,2114.8,152.6105,45.3752,2.496,8.75,0.000,5.50,5.500,5.500,1916.8,1
208,2228.1,153.7278,44.7332,2.350,7.72,0.000,5.50,5.500,5.500,1842.3,1
209,2341.4,154.8206,44.0806,2.338,8.44,0.000,5.50,5.500,5.500,1809.3,1
210,2421.6,155.8578,43.7767,2.566,9.32,0.000,6.00,6.000,6.000,2430.3,1
211,2501.8,156.8525,43.8225,2.657,9.52,0.000,5.50,5.500,5.500,2083.9,1
212,2582.0,157.8486,43.8595,2.691,8.87,0.000,5.50,5.500,5.500,2132.1,1
213,2662.2,158.8458,43.8878,2.670,8.55,0.000,5.50,5.500,5.500,2122.7,1
214,2742.5,159.8438,43.9072,2.621,8.34,0.000,5.50,5.500,5.500,2058.5,1
215,2822.7,160.8423,43.9179,2.432,5.75,0.000,5.50,5.500,5.500,1908.0,1
216,2902.9,161.8410,43.9197,2.237,2.25,0.000,5.50,5.500,5.500,1811.8,1
217,2983.1,162.8396,43.9127,2.089,5.39,0.000,5.50,5.500,5.500,1673.1,1
218,3063.3,163.8378,43.8969,1.979,8.20,0.000,5.50,5.500,5.500,1563.6,1
219,3143.5,164.8354,43.8724,2.110,11.42,0.000,5.50,5.500,5.500,1796.3,1
220,3223.7,165.8319,43.8390,2.320,12.64,0.000,5.50,5.500,5.500,2076.6,1
221,3303.9,166.8272,43.7969,2.619,11.61,0.000,5.50,5.500,5.500,2344.6,1
222,3384.1,167.8210,43.7460,2.585,9.61,0.000,6.00,6.000,6.000,2582.2,1
223,3464.4,168.8129,43.6864,2.663,11.33,0.000,5.50,5.500,5.500,2166.1,1
224,3544.6,169.8027,43.6182,3.119,12.79,0.000,5.50,5.500,5.500,2713.9,1
225,3624.8,170.7901,43.5413,3.380,14.95,0.000,5.50,5.500,5.500,3116.7,1
226,3705.0,171.7748,43.4559,4.014,15.74,0.000,5.50,5.500,5.500,4285.8,1
227,3785.2,172.7565,43.3619,4.387,16.32,0.000,5.50,5.500,5.500,5183.5,1
228,3865.4,173.7351,43.2594,4.495,14.92,0.000,5.50,5.500,5.500,5745.5,1
229,3945.6,174.7103,43.1485,4.187,11.88,0.000,5.50,5.500,5.500,5317.3,1
230,4025.8,175.6817,43.0292,4.150,7.79,0.000,5.50,5.500,5.500,6192.1,1
231,4106.0,176.6492,42.9017,3.874,6.83,0.000,5.50,5.500,5.500,5531.9,1
232,4186.2,177.6126,42.7659,3.666,6.90,0.000,5.50,5.500,5.500,4970.7,1
233,4245.3,178.4492,42.6543,3.608,8.03,0.000,5.50,5.500,5.500,4703.1,1
234,4287.6,178.9111,42.7865,3.486,4.49,0.000,5.50,5.500,5.500,4266.3,1
235,4400.9,179.5084,42.6027,3.319,6.34,0.000,5.50,5.500,5.500,3557.2,1
236,4443.8,180.0000,42.4383,3.165,6.48,0.000,5.50,5.500,5.500,3166.0,1
237,4499.2,180.0000,42.3823,3.251,5.96,0.000,5.50,5.500,5.500,3538.8,1
238,4554.6,180.0000,41.8837,3.169,4.95,0.000,5.50,5.500,5.500,3410.5,1
239,4554.6,0.0000,41.6343,0.000,0.00,0.000,5.00,5.000,5.086,780.9,1
240,4609.9,-180.0000,41.8837,3.121,3.62,0.000,5.50,5.500,5.500,3337.9,1
241,4665.3,-180.0000,42.3823,3.104,2.64,0.000,5.50,5.500,5.500,3240.2,1
242,4720.7,-180.0000,42.8809,3.260,0.84,0.000,5.50,5.500,5.500,3819.5,1
243,4776.1,-180.0000,43.3795,3.196,3.97,0.000,5.50,5.500,5.500,3703.6,1
244,4831.5,-180.0000,43.8781,3.074,6.29,0.000,5.50,5.500,5.500,3530.5,1
245,4886.9,-180.0000,44.3767,2.954,8.13,0.000,5.50,5.500,5.500,3345.9,1
246,5866.4,-176.4779,48.3580,2.976,12.03,0.000,5.50,5.500,5.500,2359.2,1
247,8694.7,-152.0367,52.0738,1.653,6.22,0.000,6.00,6.000,6.000,1729.7,1
248,8696.5,-131.1153,52.0500,1.417,6.64,0.000,5.50,5.500,5.500,1232.9,1
249,8699.3,-131.1014,52.0317,1.433,6.73,0.000,5.50,5.500,5.500,1239.6,1
250,8702.0,-131.1012,52.0115,1.452,6.81,0.000,5.50,5.500,5.500,1249.6,1
251,8706.4,-131.0935,51.9856,1.473,6.92,0.000,5.50,5.500,5.500,1260.5,1
252,8708.8,-131.0625,51.9615,1.486,7.05,0.000,5.50,5.500,5.500,1265.9,1
253,8710.8,-131.0373,51.9501,1.491,7.13,0.000,5.50,5.500,5.500,1267.6,1
254,9646.8,-127.5211,48.4370,2.610,10.06,0.000,6.50,6.500,6.500,2990.3,1
255,9649.6,-124.0250,44.9162,2.034,2.85,0.000,5.50,5.500,5.500,1793.8,1
256,9650.4,-124.0323,44.9011,2.031,2.81,0.000,5.50,5.500,5.500,1791.6,1
257,9654.9,-124.0396,44.8779,2.040,2.73,0.000,5.50,5.500,5.500,1800.8,1
258,9659.0,-124.0558,44.8408,2.047,2.61,0.000,5.50,5.500,5.500,1808.6,1
259,9664.2,-124.0693,44.8005,2.039,2.46,0.000,5.50,5.500,5.500,1801.6,1
260,9670.0,-124.0659,44.7519,2.037,2.22,0.000,5.50,5.500,5.500,1800.3,1
261,9675.9,-124.0682,44.7005,2.035,2.23,0.000,5.50,5.500,5.500,1798.5,1
262,9676.3,-124.0763,44.6739,2.042,2.30,0.000,5.50,5.500,5.500,1805.4,1
263,9677.9,-124.0663,44.6682,2.037,2.28,0.000,5.50,5.500,5.500,1800.5,1
264,9681.5,-124.0627,44.6478,2.042,2.32,0.000,5.50,5.500,5.500,1805.7,1
265,9682.8,-124.0691,44.6263,2.038,2.37,0.000,5.50,5.500,5.500,1801.2,1
266,9684.2,-124.0670,44.6150,2.034,2.39,0.000,5.50,5.500,5.500,1797.2,1
267,9696.7,-124.0738,44.5538,2.161,2.53,0.000,5.50,5.500,5.500,1937.6,1
268,9706.3,-124.0844,44.4549,2.156,2.79,0.000,5.50,5.500,5.500,1927.4,1
269,9709.2,-124.0866,44.3986,2.153,3.00,0.000,5.50,5.500,5.500,1919.4,1
270,9718.1,-124.1015,44.3464,2.145,2.94,0.000,5.50,5.500,5.500,1910.5,1
271,9724.6,-124.1141,44.2782,2.141,2.87,0.000,5.50,5.500,5.500,1907.0,1
272,9741.3,-124.1201,44.1743,2.133,2.55,0.000,5.50,5.500,5.500,1902.0,1
273,9747.4,-124.1298,44.0719,2.125,2.18,0.000,5.50,5.500,5.500,1896.5,1
274,9748.8,-124.1335,44.0381,2.123,2.07,0.000,5.50,5.500,5.500,1894.2,1
275,9753.4,-124.1353,44.0112,2.120,1.98,0.000,5.50,5.500,5.500,1892.0,1
276,9754.4,-124.1385,43.9862,2.119,1.93,0.000,5.50,5.500,5.500,1890.6,1
277,9756.3,-124.1410,43.9733,2.119,1.91,0.000,5.50,5.500,5.500,1890.3,1
278,9802.6,-124.1887,43.7593,2.107,2.04,0.000,5.50,5.500,5.500,1879.3,1
279,9827.9,-124.2960,43.4490,2.079,2.61,0.000,5.50,5.500,5.500,1853.4,1
280,9828.2,-124.3582,43.3432,2.048,2.80,0.000,5.50,5.500,5.500,1824.0,1
281,9829.6,-124.3682,43.3413,2.048,2.84,0.000,5.50,5.500,5.500,1824.0,1
282,9830.9,-124.3809,43.3352,2.048,2.89,0.000,5.50,5.500,5.500,1823.3,1
283,9833.5,-124.3933,43.3201,2.045,2.93,0.000,5.50,5.500,5.500,1820.8,1
284,9852.2,-124.4099,43.2261,2.017,2.98,0.000,5.50,5.500,5.500,1794.3,1
285,9854.8,-124.4215,43.1307,1.995,2.96,0.000,5.50,5.500,5.500,1776.2,1
286,9859.8,-124.4296,43.0971,1.989,2.97,0.000,5.50,5.500,5.500,1770.9,1
287,9867.0,-124.4445,43.0431,1.979,2.99,0.000,5.50,5.500,5.500,1763.1,1
